L_Scene,R_Scene,L_Pts,R_Pts
2271.jpg,9405.jpg,2 Points,3 Points
1019.jpg,7004.jpg,0 Points,5 Points
6360.jpg,6834.jpg,1 Point,5 Points
7095.jpg,6900.jpg,1 Points,4 Points
5455.jpg,7570.jpg,0 Points,5 Points
5594.jpg,5991.jpg,5 Points,0 Points
5971.jpg,9050.jpg,5 Points,4 Points
7550.jpg,A001.jpg,2 Points,3 Points
9250.jpg,6840.jpg,0 Points,1 Points
3250.jpg,2716.jpg,3 Points,2 Points
2381.jpg,8250.jpg,1 Point,4 Points
1230.jpg,9620.jpg,4 Points,1 Point
6836.jpg,9411.jpg,4 Points,0 Points
9182.jpg,7235.jpg,2 Points,3 Points
1540.jpg,8185.jpg,1 Point,0 Points
9424.jpg,9280.jpg,4 Points,1 Point
1670.jpg,8160.jpg,3 Points,2 Points
9181.jpg,7502.jpg,0 Points,5 Points
9340.jpg,9160.jpg,0 Points,4 Points
9810.jpg,9400.jpg,2 Points,3 Points
9910.jpg,9561.jpg,2 Points,3 Points
1321.jpg,7000.jpg,3 Points,2 Points
1740.jpg,2385.jpg,0 Points,3 Points
9630.jpg,9046.jpg,2 Points,3 Points
9490.jpg,9254.jpg,1 Point,2 Points
2691.jpg,9600.jpg,0 Points,5 Points
2352.2.jpg,6530.jpg,0 Points,1 Point
5875.jpg,4233.jpg,0 Points,5 Points
8465.jpg,2490.jpg,1 Point,4 Points
5460.jpg,5910.jpg,0 Points,5 Points
4609.jpg,8161.jpg,2 Points,4 Points
7050.jpg,2512.jpg,4 Points,1 Point
3300.jpg,3110.jpg,0 Points,4 Points
5201.jpg,5628.jpg,0 Points,5 Points
6243.jpg,3266.jpg,2 Points,1 Point
5530.jpg,5410.jpg,0 Points,5 Points
8232.jpg,2030.jpg,5 Points,0 Points
2100.jpg,5740.jpg,5 Points,0 Points
9571.jpg,2800.jpg,2 Points,4 Points
7080.jpg,3160.jpg,4 Points,1 Point
9265.jpg,9041.jpg,0 Points,4 Points
2206.jpg,7020.jpg,0 Points,5 Points
2280.jpg,2170.jpg,4 Points,2 Points
7030.jpg,9300.jpg,1 Points,4 Points
2661.jpg,2520.jpg,5 Points,2 Points
2320.jpg,7207.jpg,4 Points,1 Points
F149.jpg,6571.jpg,0 Points,2 Points
7217.jpg,3060.jpg,4 Points,1 Point
P222.jpg,3051.jpg,2 Points,1 Point
P077.jpg,7040.jpg,1 Point,4 Points
8200.jpg,2312.jpg,4 Points,1 Points
5920.jpg,4770.jpg,2 Points,3 Points
1052.jpg,3180.jpg,3 Points,5 Points
2480.jpg,5731.jpg,1 Point,4 Points
2487.jpg,4598.jpg,2 Points,1 Point
5470.jpg,2620.jpg,5 Points,0 Points
3100.jpg,3062.jpg,2 Points,3 Points
7620.jpg,7182.jpg,1 Point,4 Points
5260.jpg,5760.jpg,5 Points,1 Point
9700.jpg,9452.jpg,1 Points,4 Points
P019.jpg,6550.jpg,3 Points,5 Points
2389.jpg,7545.jpg,0 Points,5 Points
3102.jpg,9594.jpg,1 Point,4 Points
5700.jpg,5994.jpg,5 Points,0 Points
7580.jpg,7546.jpg,3 Points,2 Points
8010.jpg,2500.jpg,0 Points,5 Points
7280.jpg,5270.jpg,0 Points,4 Points
7211.jpg,1525.jpg,3 Points,2 Points
2141.jpg,6211.jpg,5 Points,3 Points
2810.jpg,7034.jpg,3 Points,2 Points
1113.jpg,6020.jpg,3 Points,2 Points
5831.jpg,7220.jpg,3 Points,2 Points
2580.jpg,2575.jpg,3 Points,2 Points
9560.jpg,2683.jpg,1 Point,4 Points
2830.jpg,2681.jpg,5 Points,3 Points
9913.jpg,3181.jpg,1 Points,4 Points
3061.jpg,3015.jpg,4 Points,5 Points
1616.jpg,5720.jpg,2 Points,3 Points
6570.2.jpg,4605.jpg,3 Points,4 Points
F252.jpg,4510.jpg,0 Points,5 Points
8210.jpg,8330.jpg,3 Points,0 Points
4660.jpg,7035.jpg,4 Points,1 Points
7380.jpg,2692.jpg,1 Point,4 Points
7286.jpg,2485.jpg,5 Points,0 Points
6560.jpg,9432.jpg,2 Points,5 Points
2597.jpg,5629.jpg,5 Points,0 Points
7352.jpg,2240.jpg,2 Points,5 Points
5849.jpg,2749.jpg,2 Points,3 Points
4531.jpg,5621.jpg,5 Points,3 Points
7503.jpg,5900.jpg,2 Points,3 Points
9320.jpg,2900.jpg,0 Points,3 Points
7110.jpg,6800.jpg,5 Points,0 Points
3500.jpg,6312.jpg,4 Points,2 Points
9080.jpg,5593.jpg,5 Points,0 Points
8350.jpg,2372.jpg,5 Points,1 Point
5820.jpg,5200.jpg,5 Points,0 Points
9404.jpg,6212.jpg,5 Points,4 Points
1850.jpg,7233.jpg,5 Points,0 Points
2570.jpg,5520.jpg,3 Points,2 Points
1274.jpg,6350.jpg,1 Points,4 Points
2220.jpg,2092.jpg,5 Points,0 Points
5780.jpg,5890.jpg,3 Points,2 Points
9421.jpg,A025.jpg,2 Points,0 Points
1603.jpg,8180.jpg,1 Points,4 Points
4608.jpg,2514.jpg,1 Point,5 Points
9102.jpg,7224.jpg,3 Points,2 Points
F034.jpg,3530.jpg,4 Points,1 Point
7130.jpg,3350.jpg,4 Points,1 Point
2130.jpg,8510.jpg,1 Points,4 Points
3400.jpg,7025.jpg,2 Points,3 Points
2410.jpg,4689.jpg,4 Points,5 Points
7031.jpg,1022.jpg,4 Points,1 Point
6510.jpg,6190.jpg,2 Points,5 Points
6838.jpg,9621.jpg,5 Points,0 Points
3064.jpg,9420.jpg,4 Points,2 Points
9830.jpg,8480.jpg,4 Points,1 Point
1640.jpg,1720.jpg,3 Points,4 Points
2702.jpg,7140.jpg,5 Points,0 Points
2020.jpg,1811.jpg,5 Points,1 Point
7705.jpg,6250.1.jpg,5 Points,0 Points
