L_Scene,R_Scene,L_Pts,R_Pts
8041.jpg,6250.2.jpg,2 Points,3 Points
2214.jpg,5532.jpg,3 Points,2 Points
6360.jpg,9120.jpg,1 Point,5 Points
9921.jpg,1270.jpg,1 Points,4 Points
5220.jpg,7230.jpg,0 Points,5 Points
1942.jpg,2515.jpg,1 Points,4 Points
5971.jpg,2750.jpg,5 Points,4 Points
7500.jpg,2751.jpg,2 Points,3 Points
9250.jpg,6840.jpg,0 Points,1 Points
9220.jpg,7560.jpg,1 Point,4 Points
2518.jpg,8250.jpg,1 Point,4 Points
1932.jpg,9415.jpg,1 Points,4 Points
6000.jpg,5940.jpg,4 Points,0 Points
9010.jpg,5450.jpg,0 Points,5 Points
2600.jpg,8185.jpg,1 Point,0 Points
7006.jpg,6821.jpg,3 Points,2 Points
5030.jpg,4274.jpg,3 Points,2 Points
5622.jpg,7495.jpg,4 Points,1 Points
9340.jpg,1200.jpg,0 Points,4 Points
7096.jpg,1111.jpg,5 Points,0 Points
6940.jpg,9561.jpg,2 Points,3 Points
1112.jpg,6415.jpg,3 Points,2 Points
7480.jpg,4533.jpg,0 Points,3 Points
7183.jpg,9800.jpg,4 Points,1 Point
9210.jpg,9290.jpg,1 Point,2 Points
2850.jpg,7150.jpg,3 Points,2 Points
3022.jpg,6530.jpg,0 Points,1 Point
3069.jpg,6314.jpg,3 Points,2 Points
8465.jpg,2590.jpg,1 Point,4 Points
8117.jpg,7281.jpg,5 Points,0 Points
8311.jpg,1900.jpg,2 Points,4 Points
7010.jpg,1120.jpg,2 Points,3 Points
5970.jpg,9000.jpg,0 Points,4 Points
6610.jpg,9911.jpg,0 Points,5 Points
2752.jpg,7360.jpg,2 Points,1 Point
7090.jpg,9360.jpg,4 Points,1 Point
4279.jpg,2030.jpg,5 Points,0 Points
9920.jpg,5950.jpg,5 Points,0 Points
9101.jpg,1945.jpg,2 Points,4 Points
5626.jpg,7234.jpg,2 Points,3 Points
6244.jpg,9041.jpg,0 Points,4 Points
6250.1.jpg,7705.jpg,0 Points,5 Points
4536.jpg,7170.jpg,4 Points,2 Points
7140.jpg,2702.jpg,0 Points,5 Points
2661.jpg,2520.jpg,5 Points,2 Points
6410.jpg,9830.jpg,1 Point,4 Points
F149.jpg,6571.jpg,0 Points,2 Points
9621.jpg,5972.jpg,0 Points,5 Points
9401.jpg,9110.jpg,2 Points,1 Point
6930.jpg,7031.jpg,1 Point,4 Points
5480.jpg,2312.jpg,4 Points,1 Points
7025.jpg,9584.jpg,3 Points,2 Points
1052.jpg,3180.jpg,3 Points,5 Points
3350.jpg,7130.jpg,1 Point,4 Points
2487.jpg,4598.jpg,2 Points,1 Point
7224.jpg,7920.jpg,2 Points,3 Points
F369.jpg,6260.jpg,2 Points,3 Points
5000.jpg,1603.jpg,4 Points,1 Points
5260.jpg,5760.jpg,5 Points,1 Point
5890.jpg,5780.jpg,2 Points,3 Points
F158.jpg,9582.jpg,3 Points,5 Points
9440.jpg,1274.jpg,4 Points,1 Points
F032.jpg,1080.jpg,1 Point,4 Points
7233.jpg,5623.jpg,0 Points,5 Points
7580.jpg,7546.jpg,3 Points,2 Points
5200.jpg,5820.jpg,0 Points,5 Points
7280.jpg,2560.jpg,0 Points,4 Points
5593.jpg,5600.jpg,0 Points,5 Points
2141.jpg,9611.jpg,5 Points,3 Points
9190.jpg,7110.jpg,0 Points,5 Points
1240.jpg,6020.jpg,3 Points,2 Points
5900.jpg,2190.jpg,3 Points,2 Points
2580.jpg,1910.jpg,3 Points,2 Points
2749.jpg,5849.jpg,3 Points,2 Points
2260.jpg,7100.jpg,5 Points,3 Points
5629.jpg,2597.jpg,0 Points,5 Points
2717.jpg,9330.jpg,4 Points,5 Points
7350.jpg,7286.jpg,0 Points,5 Points
4100.jpg,1510.jpg,3 Points,4 Points
7035.jpg,7002.jpg,1 Points,4 Points
8210.jpg,8460.jpg,3 Points,0 Points
4510.jpg,F252.jpg,5 Points,0 Points
1220.jpg,8231.jpg,1 Point,4 Points
5720.jpg,2383.jpg,3 Points,2 Points
3170.jpg,9432.jpg,2 Points,5 Points
3181.jpg,9913.jpg,4 Points,1 Points
5471.jpg,2240.jpg,2 Points,5 Points
2683.jpg,6010.jpg,3 Points,2 Points
2650.jpg,5621.jpg,5 Points,3 Points
7220.jpg,5831.jpg,2 Points,3 Points
9007.jpg,1101.jpg,0 Points,3 Points
7034.jpg,2810.jpg,2 Points,3 Points
3500.jpg,6312.jpg,4 Points,2 Points
6561.jpg,7211.jpg,2 Points,3 Points
8350.jpg,2372.jpg,5 Points,1 Point
2500.jpg,8010.jpg,5 Points,0 Points
F174.jpg,6212.jpg,5 Points,4 Points
5994.jpg,5700.jpg,0 Points,5 Points
5500.jpg,5520.jpg,3 Points,2 Points
7545.jpg,2389.jpg,5 Points,0 Points
2220.jpg,2210.jpg,5 Points,0 Points
7184.jpg,9700.jpg,4 Points,1 Points
1390.jpg,A025.jpg,2 Points,0 Points
7182.jpg,7620.jpg,4 Points,1 Point
4608.jpg,2514.jpg,1 Point,5 Points
2594.jpg,5470.jpg,0 Points,5 Points
F034.jpg,6213.jpg,4 Points,1 Point
5731.jpg,2480.jpg,4 Points,1 Point
1650.jpg,7237.jpg,1 Points,4 Points
4770.jpg,5920.jpg,3 Points,2 Points
8220.jpg,7009.jpg,4 Points,5 Points
7040.jpg,A041.jpg,4 Points,1 Point
6510.jpg,6190.jpg,2 Points,5 Points
P233.jpg,7217.jpg,1 Point,4 Points
3168.jpg,9070.jpg,4 Points,2 Points
7207.jpg,2320.jpg,1 Points,4 Points
1640.jpg,1720.jpg,3 Points,4 Points
1050.jpg,7030.jpg,4 Points,1 Points
