L_Scene,R_Scene,L_Pts,R_Pts
8041.jpg,9405.jpg,2 Points,3 Points
1019.jpg,7004.jpg,0 Points,5 Points
2000.jpg,8531.jpg,0 Points,4 Points
7095.jpg,6900.jpg,1 Points,4 Points
5455.jpg,7570.jpg,0 Points,5 Points
5594.jpg,5991.jpg,5 Points,0 Points
5971.jpg,9050.jpg,5 Points,4 Points
7550.jpg,2205.jpg,1 Points,4 Points
9250.jpg,3080.jpg,0 Points,1 Points
A053.jpg,2716.jpg,3 Points,2 Points
2518.jpg,1313.jpg,1 Point,4 Points
1230.jpg,9620.jpg,4 Points,1 Point
6836.jpg,9411.jpg,4 Points,0 Points
9182.jpg,7235.jpg,2 Points,3 Points
1540.jpg,8185.jpg,1 Point,0 Points
9424.jpg,9390.jpg,4 Points,1 Point
1670.jpg,8160.jpg,3 Points,2 Points
9181.jpg,7502.jpg,0 Points,5 Points
6910.jpg,1200.jpg,0 Points,4 Points
9810.jpg,9470.jpg,2 Points,3 Points
9910.jpg,9561.jpg,2 Points,3 Points
1661.jpg,7000.jpg,3 Points,2 Points
1740.jpg,2385.jpg,0 Points,3 Points
9630.jpg,9046.jpg,2 Points,3 Points
9490.jpg,9290.jpg,1 Point,2 Points
2691.jpg,9600.jpg,0 Points,5 Points
2352.2.jpg,9417.jpg,0 Points,1 Point
5875.jpg,7285.jpg,0 Points,5 Points
8465.jpg,2590.jpg,1 Point,4 Points
5460.jpg,5910.jpg,0 Points,5 Points
4609.jpg,8161.jpg,2 Points,4 Points
7050.jpg,2512.jpg,4 Points,1 Point
5970.jpg,9000.jpg,0 Points,4 Points
5660.jpg,5628.jpg,0 Points,5 Points
6243.jpg,3266.jpg,2 Points,1 Point
5530.jpg,5410.jpg,0 Points,5 Points
8232.jpg,2030.jpg,5 Points,0 Points
2100.jpg,5740.jpg,5 Points,0 Points
9571.jpg,2800.jpg,2 Points,4 Points
7080.jpg,6210.jpg,4 Points,1 Point
9265.jpg,P211.jpg,0 Points,4 Points
2206.jpg,7020.jpg,0 Points,5 Points
2280.jpg,7170.jpg,4 Points,2 Points
7030.jpg,1050.jpg,1 Points,4 Points
2661.jpg,2520.jpg,5 Points,2 Points
2320.jpg,7207.jpg,4 Points,1 Points
3030.jpg,P237.jpg,0 Points,2 Points
7217.jpg,3060.jpg,4 Points,1 Point
P222.jpg,3051.jpg,2 Points,1 Point
P077.jpg,7040.jpg,1 Point,4 Points
8200.jpg,2312.jpg,4 Points,1 Points
5920.jpg,4770.jpg,2 Points,3 Points
1052.jpg,F365.jpg,3 Points,5 Points
2606.jpg,5731.jpg,1 Point,4 Points
7195.jpg,2200.jpg,2 Points,1 Point
5470.jpg,2620.jpg,5 Points,0 Points
3100.jpg,3062.jpg,2 Points,3 Points
7620.jpg,7182.jpg,1 Point,4 Points
5982.jpg,1602.jpg,5 Points,1 Point
9700.jpg,9452.jpg,1 Points,4 Points
P019.jpg,9582.jpg,3 Points,5 Points
2389.jpg,7545.jpg,0 Points,5 Points
3102.jpg,1080.jpg,1 Point,4 Points
5700.jpg,5390.jpg,5 Points,0 Points
7580.jpg,8340.jpg,3 Points,2 Points
8010.jpg,2500.jpg,0 Points,5 Points
7280.jpg,5270.jpg,0 Points,4 Points
7211.jpg,1525.jpg,3 Points,2 Points
6831.jpg,9611.jpg,5 Points,3 Points
2810.jpg,7034.jpg,3 Points,2 Points
1113.jpg,6020.jpg,3 Points,2 Points
5831.jpg,8090.jpg,3 Points,2 Points
8300.jpg,1910.jpg,3 Points,2 Points
7361.jpg,2683.jpg,2 Points,3 Points
2260.jpg,2681.jpg,5 Points,3 Points
9913.jpg,1310.jpg,1 Points,4 Points
3061.jpg,3015.jpg,4 Points,5 Points
1616.jpg,5720.jpg,2 Points,3 Points
6570.2.jpg,1510.jpg,3 Points,4 Points
F252.jpg,2230.jpg,0 Points,5 Points
5535.jpg,8460.jpg,3 Points,0 Points
7002.jpg,7035.jpg,4 Points,1 Points
1220.jpg,2692.jpg,1 Point,4 Points
7286.jpg,2485.jpg,5 Points,0 Points
6560.jpg,6570.1.jpg,2 Points,5 Points
