L_Scene,R_Scene,L_Pts,R_Pts,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Recognition_Loop.thisRepN,Practice_Recognition_Loop.thisTrialN,Practice_Recognition_Loop.thisN,Practice_Recognition_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,RecStim_Loop.thisRepN,RecStim_Loop.thisTrialN,RecStim_Loop.thisN,RecStim_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,RecBrk_Loop.thisRepN,RecBrk_Loop.thisTrialN,RecBrk_Loop.thisN,RecBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.keys,Encoding_Resp.rt,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.790229957005067,,,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
F078.jpg,L130.jpg,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,d,5.7184255000029225,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
P036.jpg,P217.jpg,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,d,4.015174250009295,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
O161.jpg,F218.jpg,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,j,4.853795166003692,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
F279.jpg,A001.jpg,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,d,3.3432182910037227,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
F273.jpg,A060.jpg,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,j,6.332183958009409,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
2393.jpg,L055.jpg,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,j,8.131466791004641,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
1812.jpg,2593.jpg,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,j,4.036273999008699,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
O013.jpg,A067.jpg,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,d,3.54760020699905,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
P033.jpg,P034.jpg,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,d,4.537452291006048,,,29,2024-11-10_16h39.11.893,EPIDM,2023.1.2,None,
